fare_id,route_id,origin_id,destination_id,contains_id
331053,,74634,74638,
331053,,74638,74634,
331052,,74635,74638,
331052,,74634,74637,
331052,,74638,74635,
331052,,74637,74634,
331051,,74633,74638,
331051,,74635,74637,
331051,,74634,74636,
331051,,74638,74633,
331051,,74637,74635,
331051,,74636,74634,
331050,,74633,74634,
331050,,74633,74637,
331050,,74635,74636,
331050,,74634,74633,
331050,,74638,74636,
331050,,74637,74633,
331050,,74636,74635,
331050,,74636,74638,
331049,,74633,74635,
331049,,74633,74636,
331049,,74635,74633,
331049,,74635,74634,
331049,,74634,74635,
331049,,74638,74637,
331049,,74637,74638,
331049,,74637,74636,
331049,,74636,74633,
331049,,74636,74637,
331048,,74633,74633,
331048,,74635,74635,
331048,,74634,74634,
331048,,74638,74638,
331048,,74637,74637,
331048,,74636,74636,
