service_id,date,exception_type
M158:20260430,20260430,2
M174:20260430,20260430,2
621:20260430,20260430,2
663:20260430,20260430,2
424:20260430,20260430,1
149:20260430,20260430,1
636:20260430,20260430,2
522:20260430,20260430,1
117:20260430,20260430,1
M145:20260430,20260430,2
111:20260430,20260430,1
816:20260430,20260430,1
632:20260430,20260430,2
133:20260430,20260430,1
654:20260430,20260430,2
146:20260430,20260430,1
M138:20260430,20260430,2
401:20260430,20260430,1
159:20260430,20260430,1
M134:20260430,20260430,2
649:20260430,20260430,2
M114:20260430,20260430,2
639:20260430,20260430,2
M156:20260430,20260430,2
518:20260430,20260430,1
124:20260430,20260430,1
608:20260430,20260430,2
413:20260430,20260430,1
174:20260430,20260430,1
659:20260430,20260430,2
M163:20260430,20260430,2
627:20260430,20260430,2
606:20260430,20260430,2
110:20260430,20260430,1
102:20260430,20260430,1
163:20260430,20260430,1
644:20260430,20260430,2
M167:20260430,20260430,2
648:20260430,20260430,2
148:20260430,20260430,1
609:20260430,20260430,2
138:20260430,20260430,1
645:20260430,20260430,2
420:20260430,20260430,1
M108:20260430,20260430,2
626:20260430,20260430,2
M162:20260430,20260430,2
643:20260430,20260430,2
404:20260430,20260430,1
655:20260430,20260430,2
640:20260430,20260430,2
156:20260430,20260430,1
638:20260430,20260430,2
M110:20260430,20260430,2
M169:20260430,20260430,2
M173:20260430,20260430,2
167:20260430,20260430,1
M131:20260430,20260430,2
614:20260430,20260430,2
601:20260430,20260430,2
M152:20260430,20260430,2
617:20260430,20260430,2
425:20260430,20260430,1
M171:20260430,20260430,2
M117:20260430,20260430,2
515:20260430,20260430,1
M116:20260430,20260430,2
129:20260430,20260430,1
M104:20260430,20260430,2
M125:20260430,20260430,2
647:20260430,20260430,2
M135:20260430,20260430,2
107:20260430,20260430,1
106:20260430,20260430,1
M103:20260430,20260430,2
109:20260430,20260430,1
652:20260430,20260430,2
612:20260430,20260430,2
120:20260430,20260430,1
128:20260430,20260430,1
113:20260430,20260430,1
168:20260430,20260430,1
412:20260430,20260430,1
137:20260430,20260430,1
M159:20260430,20260430,2
M150:20260430,20260430,2
507:20260430,20260430,1
M149:20260430,20260430,2
152:20260430,20260430,1
130:20260430,20260430,1
M139:20260430,20260430,2
618:20260430,20260430,2
145:20260430,20260430,1
134:20260430,20260430,1
651:20260430,20260430,2
M172:20260430,20260430,2
M164:20260430,20260430,2
637:20260430,20260430,2
615:20260430,20260430,2
635:20260430,20260430,2
M142:20260430,20260430,2
623:20260430,20260430,2
126:20260430,20260430,1
503:20260430,20260430,1
603:20260430,20260430,2
155:20260430,20260430,1
657:20260430,20260430,2
416:20260430,20260430,1
M165:20260430,20260430,2
628:20260430,20260430,2
616:20260430,20260430,2
153:20260430,20260430,1
662:20260430,20260430,2
122:20260430,20260430,1
M105:20260430,20260430,2
656:20260430,20260430,2
622:20260430,20260430,2
M128:20260430,20260430,2
108:20260430,20260430,1
M154:20260430,20260430,2
M133:20260430,20260430,2
127:20260430,20260430,1
661:20260430,20260430,2
840:20260430,20260430,2
M166:20260430,20260430,2
409:20260430,20260430,1
641:20260430,20260430,2
809:20260430,20260430,1
421:20260430,20260430,1
613:20260430,20260430,2
132:20260430,20260430,1
523:20260430,20260430,1
125:20260430,20260430,1
605:20260430,20260430,2
M144:20260430,20260430,2
103:20260430,20260430,1
136:20260430,20260430,1
115:20260430,20260430,1
M101:20260430,20260430,2
172:20260430,20260430,1
M120:20260430,20260430,2
M170:20260430,20260430,2
139:20260430,20260430,1
141:20260430,20260430,1
658:20260430,20260430,2
633:20260430,20260430,2
166:20260430,20260430,1
M129:20260430,20260430,2
M112:20260430,20260430,2
131:20260430,20260430,1
M126:20260430,20260430,2
506:20260430,20260430,1
819:20260430,20260430,2
M160:20260430,20260430,2
602:20260430,20260430,2
665:20260430,20260430,2
634:20260430,20260430,2
526:20260430,20260430,1
