route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,172:20260430,172:20260430,Tamien,172,1,,,1,1
Local Weekend,656:20260430,656:20260430,San Jose Diridon,656,1,,,1,1
South County,825:20260430,825:20260430,San Jose Diridon,825,0,,,1,1
Local Weekday,M136:20260430,M136:20260430,Tamien,M136,1,,,1,1
Local Weekday,176:20260430,176:20260430,Tamien,176,1,,,1,1
Local Weekday,108:20260430,108:20260430,Tamien,108,1,,,1,1
Local Weekday,119:20260430,119:20260430,San Francisco,119,0,,,1,1
Local Weekday,M159:20260430,M159:20260430,San Francisco,M159,0,,,1,1
Local Weekend,603:20260430,603:20260430,San Francisco,603,0,,,1,1
Local Weekday,140:20260430,140:20260430,Tamien,140,1,,,1,1
Local Weekday,142:20260430,142:20260430,San Jose Diridon,142,1,,,1,1
Local Weekday,161:20260430,161:20260430,San Francisco,161,0,,,1,1
Local Weekend,653:20260430,653:20260430,San Francisco,653,0,,,1,1
Local Weekend,657:20260430,657:20260430,San Francisco,657,0,,,1,1
Local Weekday,117:20260430,117:20260430,San Francisco,117,0,,,1,1
Local Weekday,M121:20260430,M121:20260430,San Francisco,M121,0,,,1,1
Local Weekday,M108:20260430,M108:20260430,Tamien,M108,1,,,1,1
Local Weekday,103:20260430,103:20260430,San Francisco,103,0,,,1,1
Local Weekend,619:20260430,619:20260430,San Francisco,619,0,,,1,1
Local Weekend,642:20260430,642:20260430,Tamien,642,1,,,1,1
Limited,429:20260430,429:20260430,San Francisco,429,0,,,1,1
Limited,416:20260430,416:20260430,San Jose Diridon,416,1,,,1,1
Local Weekday,M155:20260430,M155:20260430,San Francisco,M155,0,,,1,1
Local Weekend,611:20260430,611:20260430,San Francisco,611,0,,,1,1
Local Weekday,M129:20260430,M129:20260430,San Francisco,M129,0,,,1,1
Local Weekday,171:20260430,171:20260430,San Francisco,171,0,,,1,1
Local Weekend,624:20260430,624:20260430,San Jose Diridon,624,1,,,1,1
Local Weekend,650:20260430,650:20260430,Tamien,650,1,,,1,1
Local Weekend,609:20260430,609:20260430,San Francisco,609,0,,,1,1
South County,840:20260430,840:20260430,Gilroy,840,1,,,1,1
Local Weekday,M139:20260430,M139:20260430,San Francisco,M139,0,,,1,1
Local Weekend,629:20260430,629:20260430,San Francisco,629,0,,,1,1
Local Weekday,125:20260430,125:20260430,San Francisco,125,0,,,1,1
Local Weekday,M137:20260430,M137:20260430,San Francisco,M137,0,,,1,1
Local Weekday,M127:20260430,M127:20260430,San Francisco,M127,0,,,1,1
Local Weekday,112:20260430,112:20260430,Tamien,112,1,,,1,1
Local Weekday,M128:20260430,M128:20260430,Tamien,M128,1,,,1,1
Local Weekday,138:20260430,138:20260430,San Jose Diridon,138,1,,,1,1
Local Weekday,M171:20260430,M171:20260430,San Francisco,M171,0,,,1,1
Express,515:20260430,515:20260430,San Francisco,515,0,,,1,1
Limited,409:20260430,409:20260430,San Francisco,409,0,,,1,1
Limited,424:20260430,424:20260430,San Jose Diridon,424,1,,,1,1
Local Weekday,153:20260430,153:20260430,San Francisco,153,0,,,1,1
Local Weekday,136:20260430,136:20260430,Tamien,136,1,,,1,1
Local Weekday,139:20260430,139:20260430,San Francisco,139,0,,,1,1
Local Weekend,636:20260430,636:20260430,San Jose Diridon,636,1,,,1,1
Local Weekday,M157:20260430,M157:20260430,San Francisco,M157,0,,,1,1
Local Weekday,144:20260430,144:20260430,Tamien,144,1,,,1,1
Local Weekday,M102:20260430,M102:20260430,San Jose Diridon,M102,1,,,1,1
Local Weekday,115:20260430,115:20260430,San Francisco,115,0,,,1,1
Local Weekend,606:20260430,606:20260430,Tamien,606,1,,,1,1
Express,506:20260430,506:20260430,San Jose Diridon,506,1,,,1,1
Express,527:20260430,527:20260430,San Francisco,527,0,,,1,1
Local Weekday,156:20260430,156:20260430,Tamien,156,1,,,1,1
Local Weekday,M133:20260430,M133:20260430,San Francisco,M133,0,,,1,1
Local Weekday,104:20260430,104:20260430,Tamien,104,1,,,1,1
