route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
Local Weekday,M160:20260831,M160:20260831,Tamien,M160,1,,,1,1,,,
Local Weekday,140:20260831,140:20260831,Tamien,140,1,,,1,1,,,
Local Weekend,654:20260831,654:20260831,Tamien,654,1,,,1,1,,,
Local Weekend,621:20260831,621:20260831,San Francisco,621,0,,,1,1,,,
Local Weekday,M139:20260831,M139:20260831,San Francisco,M139,0,,,1,1,,,
Local Weekday,M159:20260831,M159:20260831,San Francisco,M159,0,,,1,1,,,
Local Weekend,640:20260831,640:20260831,San Jose Diridon,640,1,,,1,1,,,
Local Weekday,M143:20260831,M143:20260831,San Francisco,M143,0,,,1,1,,,
Local Weekday,M153:20260831,M153:20260831,San Francisco,M153,0,,,1,1,,,
Local Weekday,130:20260831,130:20260831,San Jose Diridon,130,1,,,1,1,,,
Local Weekend,636:20260831,636:20260831,San Jose Diridon,636,1,,,1,1,,,
Local Weekday,M137:20260831,M137:20260831,San Francisco,M137,0,,,1,1,,,
Local Weekday,M157:20260831,M157:20260831,San Francisco,M157,0,,,1,1,,,
Local Weekday,161:20260831,161:20260831,San Francisco,161,0,,,1,1,,,
Local Weekend,606:20260831,606:20260831,Tamien,606,1,,,1,1,,,
Local Weekend,611:20260831,611:20260831,San Francisco,611,0,,,1,1,,,
Local Weekday,156:20260831,156:20260831,Tamien,156,1,,,1,1,,,
Local Weekday,128:20260831,128:20260831,Tamien,128,1,,,1,1,,,
Local Weekday,115:20260831,115:20260831,San Francisco,115,0,,,1,1,,,
Local Weekday,M124:20260831,M124:20260831,Tamien,M124,1,,,1,1,,,
Local Weekend,624:20260831,624:20260831,San Jose Diridon,624,1,,,1,1,,,
Express,506:20260831,506:20260831,San Jose Diridon,506,1,,,1,1,,,
Limited,405:20260831,405:20260831,San Francisco,405,0,,,1,1,,,
Local Weekend,642:20260831,642:20260831,Tamien,642,1,,,1,1,,,
Local Weekend,629:20260831,629:20260831,San Francisco,629,0,,,1,1,,,
Local Weekday,149:20260831,149:20260831,San Francisco,149,0,,,1,1,,,
Local Weekday,154:20260831,154:20260831,San Jose Diridon,154,1,,,1,1,,,
South County,848:20260831,848:20260831,Gilroy,848,1,,,1,1,,,
Local Weekday,118:20260831,118:20260831,San Jose Diridon,118,1,,,1,1,,,
Local Weekday,M155:20260831,M155:20260831,San Francisco,M155,0,,,1,1,,,
Local Weekday,163:20260831,163:20260831,San Francisco,163,0,,,1,1,,,
Limited,428:20260831,428:20260831,San Jose Diridon,428,1,,,1,1,,,
Local Weekday,901:20260831,901:20260831,San Francisco,901,0,,,1,1,,,
Local Weekday,146:20260831,146:20260831,San Jose Diridon,146,1,,,1,1,,,
Local Weekend,632:20260831,632:20260831,San Jose Diridon,632,1,,,1,1,,,
Local Weekend,652:20260831,652:20260831,San Jose Diridon,652,1,,,1,1,,,
Local Weekday,M114:20260831,M114:20260831,San Jose Diridon,M114,1,,,1,1,,,
Local Weekend,664:20260831,664:20260831,San Jose Diridon,664,1,,,1,1,,,
Local Weekday,131:20260831,131:20260831,San Francisco,131,0,,,1,1,,,
Local Weekend,614:20260831,614:20260831,Tamien,614,1,,,1,1,,,
Local Weekend,665:20260831,665:20260831,San Francisco,665,0,,,1,1,,,
Limited,404:20260831,404:20260831,San Jose Diridon,404,1,,,1,1,,,
Local Weekday,133:20260831,133:20260831,San Francisco,133,0,,,1,1,,,
Local Weekday,160:20260831,160:20260831,Tamien,160,1,,,1,1,,,
Local Weekday,111:20260831,111:20260831,San Francisco,111,0,,,1,1,,,
Local Weekday,123:20260831,123:20260831,San Francisco,123,0,,,1,1,,,
Local Weekend,650:20260831,650:20260831,Tamien,650,1,,,1,1,,,
Local Weekend,620:20260831,620:20260831,San Jose Diridon,620,1,,,1,1,,,
Local Weekday,M117:20260831,M117:20260831,San Francisco,M117,0,,,1,1,,,
South County,814:20260831,814:20260831,Gilroy,814,1,,,1,1,,,
Local Weekday,M176:20260831,M176:20260831,Tamien,M176,1,,,1,1,,,
Local Weekday,M122:20260831,M122:20260831,San Jose Diridon,M122,1,,,1,1,,,
Local Weekday,142:20260831,142:20260831,San Jose Diridon,142,1,,,1,1,,,
Local Weekday,139:20260831,139:20260831,San Francisco,139,0,,,1,1,,,
Local Weekend,627:20260831,627:20260831,San Francisco,627,0,,,1,1,,,
Limited,420:20260831,420:20260831,San Jose Diridon,420,1,,,1,1,,,
South County,805:20260831,805:20260831,San Jose Diridon,805,0,,,1,1,,,
Express,515:20260831,515:20260831,San Francisco,515,0,,,1,1,,,
Local Weekday,M173:20260831,M173:20260831,San Francisco,M173,0,,,1,1,,,
Local Weekday,M149:20260831,M149:20260831,San Francisco,M149,0,,,1,1,,,
Local Weekday,M107:20260831,M107:20260831,San Francisco,M107,0,,,1,1,,,
Local Weekday,M131:20260831,M131:20260831,San Francisco,M131,0,,,1,1,,,
South County,840:20260831,840:20260831,Gilroy,840,1,,,1,1,,,
Local Weekday,903:20260831,903:20260831,San Francisco,903,0,,,1,1,,,
Local Weekday,173:20260831,173:20260831,San Francisco,173,0,,,1,1,,,
Local Weekend,615:20260831,615:20260831,San Francisco,615,0,,,1,1,,,
Local Weekend,655:20260831,655:20260831,San Francisco,655,0,,,1,1,,,
Local Weekday,106:20260831,106:20260831,San Jose Diridon,106,1,,,1,1,,,
Local Weekday,M103:20260831,M103:20260831,San Francisco,M103,0,,,1,1,,,
Local Weekend,635:20260831,635:20260831,San Francisco,635,0,,,1,1,,,
Local Weekend,653:20260831,653:20260831,San Francisco,653,0,,,1,1,,,
Local Weekday,M112:20260831,M112:20260831,Tamien,M112,1,,,1,1,,,
Local Weekday,116:20260831,116:20260831,Tamien,116,1,,,1,1,,,
Local Weekday,168:20260831,168:20260831,Tamien,168,1,,,1,1,,,
Local Weekend,637:20260831,637:20260831,San Francisco,637,0,,,1,1,,,
Local Weekend,657:20260831,657:20260831,San Francisco,657,0,,,1,1,,,
Local Weekday,144:20260831,144:20260831,Tamien,144,1,,,1,1,,,
Local Weekday,114:20260831,114:20260831,San Jose Diridon,114,1,,,1,1,,,
Local Weekday,147:20260831,147:20260831,San Francisco,147,0,,,1,1,,,
Express,522:20260831,522:20260831,San Jose Diridon,522,1,,,1,1,,,
Limited,401:20260831,401:20260831,San Francisco,401,0,,,1,1,,,
South County,820:20260831,820:20260831,Gilroy,820,1,,,1,1,,,
Local Weekday,132:20260831,132:20260831,Tamien,132,1,,,1,1,,,
Local Weekday,M151:20260831,M151:20260831,San Francisco,M151,0,,,1,1,,,
Local Weekday,105:20260831,105:20260831,San Francisco,105,0,,,1,1,,,
Local Weekday,121:20260831,121:20260831,San Francisco,121,0,,,1,1,,,
Local Weekday,158:20260831,158:20260831,San Jose Diridon,158,1,,,1,1,,,
Local Weekday,166:20260831,166:20260831,San Jose Diridon,166,1,,,1,1,,,
Local Weekend,628:20260831,628:20260831,San Jose Diridon,628,1,,,1,1,,,
Local Weekend,603:20260831,603:20260831,San Francisco,603,0,,,1,1,,,
Local Weekday,137:20260831,137:20260831,San Francisco,137,0,,,1,1,,,
Local Weekday,M174:20260831,M174:20260831,San Jose Diridon,M174,1,,,1,1,,,
