fare_id,route_id,origin_id,destination_id,contains_id
448350,,80590,80594,
448350,,80594,80590,
448349,,80591,80594,
448349,,80590,80593,
448349,,80594,80591,
448349,,80593,80590,
448348,,80589,80594,
448348,,80591,80593,
448348,,80590,80592,
448348,,80594,80589,
448348,,80593,80591,
448348,,80592,80590,
448347,,80589,80590,
448347,,80589,80593,
448347,,80591,80592,
448347,,80590,80589,
448347,,80594,80592,
448347,,80593,80589,
448347,,80592,80591,
448347,,80592,80594,
448346,,80589,80591,
448346,,80589,80592,
448346,,80591,80589,
448346,,80591,80590,
448346,,80590,80591,
448346,,80594,80593,
448346,,80593,80594,
448346,,80593,80592,
448346,,80592,80589,
448346,,80592,80593,
448345,,80589,80589,
448345,,80591,80591,
448345,,80590,80590,
448345,,80594,80594,
448345,,80593,80593,
448345,,80592,80592,
